Seed,N,Nout,qli,LB,UB,Time
4,5,4,10,159447,159447,25
5,5,4,10,180555,180555,15
1,5,5,10,209156,209156,72
2,5,5,10,182677,182677,194
3,5,5,10,191792,191792,18
4,5,5,10,160382,160382,23
5,5,5,10,180246,180246,16
1,5,3,20,184575,184575,19
2,5,3,20,182288,182288,29
3,5,3,20,175742,175742,15
4,5,3,20,159586,159586,16
5,5,3,20,181293,181293,14
1,5,4,20,197402,197402,19
2,5,4,20,183687,183687,27
3,5,4,20,183276,183276,14
4,5,4,20,159664,159664,16
5,5,4,20,180702,180702,14
1,5,5,20,209534,209534,24
2,5,5,20,182946,182946,109
3,5,5,20,192037,192037,15
4,5,5,20,160664,160664,15
5,5,5,20,180974,180974,16
1,5,3,40,185296,185296,26
2,5,3,40,183118,183118,17
3,5,3,40,177068,177068,15
4,5,3,40,160020,160020,13
5,5,3,40,181930,181930,14
1,5,4,40,200852,200852,16
2,5,4,40,184552,184552,17
3,5,4,40,185903,185903,15
4,5,4,40,165584,165584,15
5,5,4,40,183713,183713,14
1,5,5,40,212996,212996,16
2,5,5,40,183552,183552,45
3,5,5,40,198862,198862,13
4,5,5,40,166802,166802,14
5,5,5,40,180949,180949,13
1,5,3,80,187253,187253,14
2,5,3,80,184962,184962,24
3,5,3,80,180937,180937,14
4,5,3,80,170743,170743,14
5,5,3,80,182851,182851,14
1,5,4,80,203808,203808,14
2,5,4,80,186035,186035,23
3,5,4,80,188025,188025,14
4,5,4,80,165708,165708,15
5,5,4,80,190321,190321,14
1,5,5,80,215605,215605,15
2,5,5,80,184680,184680,15
3,5,5,80,201065,201065,14
4,5,5,80,170221,170221,15
5,5,5,80,182473,182473,14
1,6,3,10,219362,219362,32
2,6,3,10,208285,208285,512
3,6,3,10,212074,212074,20
4,6,3,10,173229,173229,22
5,6,3,10,244099,244099,69
1,6,4,10,228297,228297,41
2,6,4,10,227116,227116,36
3,6,4,10,228385,228385,19
4,6,4,10,176341,176341,24
5,6,4,10,245488,245488,60
1,6,5,10,249861,249861,303
2,6,5,10,219842,219842,33
3,6,5,10,212076,212076,25
4,6,5,10,178456,178456,17
5,6,5,10,250264,250264,51
1,6,3,20,220146,220146,18
2,6,3,20,209087,209087,125
3,6,3,20,212483,212483,16
4,6,3,20,173541,173541,15
5,6,3,20,245035,245035,32
1,6,4,20,229111,229111,24
2,6,4,20,227401,227401,19
3,6,4,20,229183,229183,16
4,6,4,20,176676,176676,16
5,6,4,20,246425,246425,26
1,6,5,20,250667,250667,124
2,6,5,20,220146,220146,19
3,6,5,20,212828,212828,17
4,6,5,20,178790,178790,14
5,6,5,20,250633,250633,25
1,6,3,40,222215,222215,14
2,6,3,40,210646,210646,44
3,6,3,40,217973,217973,14
4,6,3,40,173721,173721,14
5,6,3,40,245726,245726,18
1,6,4,40,231611,231611,16
2,6,4,40,229000,229000,15
3,6,4,40,234445,234445,14
4,6,4,40,176987,176987,15
5,6,4,40,252269,252269,17
1,6,5,40,259387,259387,16
2,6,5,40,221208,221208,15
3,6,5,40,218754,218754,15
4,6,5,40,180105,180105,14
5,6,5,40,259253,259253,20
1,6,3,80,225350,225350,14
2,6,3,80,211768,211768,15
3,6,3,80,221200,221200,14
4,6,3,80,175088,175088,14
5,6,3,80,248268,248268,14
1,6,4,80,239868,239868,61
2,6,4,80,262530,262530,16
3,6,4,80,239302,239302,14
4,6,4,80,190198,190198,14
5,6,4,80,254457,254457,15
1,6,5,80,263711,263711,14
2,6,5,80,262433,262433,16
3,6,5,80,225795,225795,14
4,6,5,80,195607,195607,15
5,6,5,80,262035,262035,14
1,7,3,10,272447,272447,907
2,7,3,10,260957,260957,112
3,7,3,10,281583,281583,75
4,7,3,10,246972,246972,35
5,7,3,10,294895,294895,126
1,7,4,10,274544,274544,1320
2,7,4,10,261545,261545,219
3,7,4,10,276630,276630,131
4,7,4,10,251981,251981,30
5,7,4,10,298547,298547,112
1,7,5,10,274544,274544,847
2,7,5,10,270979,270979,297
3,7,5,10,275932,275932,94
4,7,5,10,252101,252101,27
5,7,5,10,311528,311528,106
1,7,3,20,273203,273203,496
2,7,3,20,261300,261300,32
3,7,3,20,282137,282137,29
4,7,3,20,247544,247544,20
5,7,3,20,295256,295256,69
1,7,4,20,275493,275493,608
2,7,4,20,261868,261868,79
3,7,4,20,277446,277446,1528
4,7,4,20,252491,252491,17
5,7,4,20,299311,299311,32
1,7,5,20,275679,275679,743
2,7,5,20,271539,271539,74
3,7,5,20,277343,277343,29
4,7,5,20,252803,252803,17
5,7,5,20,312348,312348,69
1,7,3,40,274845,274845,137
2,7,3,40,263203,263203,18
3,7,3,40,283927,283927,19
4,7,3,40,248344,248344,16
5,7,3,40,296497,296497,3265
1,7,4,40,276958,276958,298
2,7,4,40,263948,263948,46
3,7,4,40,279018,279018,21
4,7,4,40,253183,253183,14
5,7,4,40,300210,300210,18
1,7,5,40,277304,277304,326
2,7,5,40,273529,273529,51
3,7,5,40,279485,279485,18
4,7,5,40,254170,254170,15
5,7,5,40,316304,316304,22
1,7,3,80,277190,277190,35
2,7,3,80,265583,265583,24
3,7,3,80,292072,292072,15
4,7,3,80,250721,250721,15
5,7,3,80,306337,306337,15
1,7,4,80,279450,279450,62
2,7,4,80,274580,274580,14
3,7,4,80,282885,282885,16
4,7,4,80,259520,259520,14
5,7,4,80,304532,304532,14
1,7,5,80,279744,279744,66
2,7,5,80,281529,281529,15
3,7,5,80,283096,283096,15
4,7,5,80,262509,262509,15
5,7,5,80,324606,324606,16
1,8,3,10,293498,293498,518
2,8,3,10,318266,318266,95
3,8,3,10,330388,330388,92
4,8,3,10,270525,270525,55
5,8,3,10,321166,321166,159
1,8,4,10,316131,316131,73
2,8,4,10,329883,329883,77
3,8,4,10,344331,344331,43
4,8,4,10,284820,284820,103
5,8,4,10,328521,328521,132
1,8,5,10,339133,339133,500
2,8,5,10,335247,335247,64
3,8,5,10,347394,347394,35
4,8,5,10,281917,281917,47
5,8,5,10,336991,336991,92
1,8,3,20,294333,294333,302
2,8,3,20,319165,319165,33
3,8,3,20,331840,331840,38
4,8,3,20,271318,271318,24
5,8,3,20,321465,321465,43
1,8,4,20,317042,317042,27
2,8,4,20,330872,330872,27
3,8,4,20,344704,344704,30
4,8,4,20,285334,285334,24
5,8,4,20,328755,328755,43
1,8,5,20,340294,340294,539
2,8,5,20,339701,339701,28
3,8,5,20,348080,348080,19
4,8,5,20,282431,282431,22
5,8,5,20,337359,337359,163
1,8,3,40,296486,296486,102
2,8,3,40,323209,323209,51
3,8,3,40,344295,344295,18
4,8,3,40,275404,275404,17
5,8,3,40,323287,323287,19
1,8,4,40,336873,336873,17
2,8,4,40,335020,335020,16
3,8,4,40,387448,387448,17
4,8,4,40,298381,298381,61
5,8,4,40,331937,331937,20
1,8,5,40,349038,349038,20
2,8,5,40,339633,339633,17
3,8,5,40,395857,395857,18
4,8,5,40,289322,289322,37
5,8,5,40,341615,341615,18
1,8,3,80,299079,299079,16
2,8,3,80,330995,330995,15
3,8,3,80,350386,350386,16
4,8,3,80,285605,285605,15
5,8,3,80,327364,327364,16
1,8,4,80,342892,342892,15
2,8,4,80,340121,340121,16
3,8,4,80,394674,394674,16
4,8,4,80,305521,305521,32
5,8,4,80,340520,340520,36
1,8,5,80,356152,356152,16
2,8,5,80,348868,348868,15
3,8,5,80,421151,421151,15
4,8,5,80,294761,294761,14
5,8,5,80,346240,346240,15
1,9,3,10,344914,346479,3383
2,9,3,10,341817,341817,1522
3,9,3,10,366415,366415,101
4,9,3,10,311289,311289,117
5,9,3,10,385339,385339,123
1,9,4,10,350267,356096,3610
2,9,4,10,353098,353098,837
3,9,4,10,378243,378243,159
4,9,4,10,323960,323960,306
5,9,4,10,404754,404754,127
1,9,5,10,373684,376389,3367
2,9,5,10,359652,359652,366
3,9,5,10,377579,377579,52
4,9,5,10,322773,322773,42
5,9,5,10,411440,411440,217
1,9,3,20,345890,346426,3273
2,9,3,20,343200,343200,654
3,9,3,20,368234,368234,43
4,9,3,20,312067,312067,34
5,9,3,20,387678,387678,37
1,9,4,20,351884,353959,3294
2,9,4,20,353783,353783,460
3,9,4,20,380144,380144,51
4,9,4,20,324609,324609,357
5,9,4,20,406013,406013,42
1,9,5,20,375891,378139,3281
2,9,5,20,360485,360485,237
3,9,5,20,384228,384228,26
4,9,5,20,323589,323589,23
5,9,5,20,412685,412685,189
1,9,3,40,353092,353092,391
2,9,3,40,348827,348827,91
3,9,3,40,374289,374289,82
4,9,3,40,315139,315139,20
5,9,3,40,389238,389238,20
1,9,4,40,359633,359633,423
2,9,4,40,376133,376133,109
3,9,4,40,383568,383568,20
4,9,4,40,327860,327860,19
5,9,4,40,407664,407664,176
1,9,5,40,387323,387323,21
2,9,5,40,382416,382416,104
3,9,5,40,388870,388870,19
4,9,5,40,325175,325175,15
5,9,5,40,415055,415055,93
1,9,3,80,356450,356450,17
2,9,3,80,352001,352001,15
3,9,3,80,382062,382062,16
4,9,3,80,338424,338424,49
5,9,3,80,395313,395313,17
1,9,4,80,365414,365414,150
2,9,4,80,388863,388863,103
3,9,4,80,395524,395524,16
4,9,4,80,360621,360621,16
5,9,4,80,415468,415468,37
1,9,5,80,394168,394168,17
2,9,5,80,393865,393865,15
3,9,5,80,453250,453250,16
4,9,5,80,354384,354384,15
5,9,5,80,423764,423764,17
1,10,3,10,378036,382845,3339
2,10,3,10,386834,386834,163
3,10,3,10,410602,410602,101
4,10,3,10,385694,385694,117
5,10,3,10,489357,489357,283
1,10,4,10,386004,387574,3278
2,10,4,10,406860,406860,248
3,10,4,10,411986,411986,52
4,10,4,10,391132,391132,93
5,10,4,10,491681,491681,220
1,10,5,10,412585,415145,3461
2,10,5,10,424035,424035,383
3,10,5,10,414366,414366,66
4,10,5,10,404540,404540,302
5,10,5,10,498928,498928,137
1,10,3,20,380697,382172,3267
2,10,3,20,387195,387195,38
3,10,3,20,411206,411206,43
4,10,3,20,388205,388205,36
5,10,3,20,490758,490758,64
1,10,4,20,393002,393115,3269
2,10,4,20,407901,407901,34
3,10,4,20,412851,412851,21
4,10,4,20,392629,392629,34
5,10,4,20,493457,493457,47
1,10,5,20,414393,414393,842
2,10,5,20,430804,430804,551
3,10,5,20,415608,415608,29
4,10,5,20,406213,406213,185
5,10,5,20,500425,500425,48
1,10,3,40,384529,384529,808
2,10,3,40,390373,390373,20
3,10,3,40,441963,441963,118
4,10,3,40,393358,393358,89
5,10,3,40,496452,496452,28
1,10,4,40,401856,401856,29
2,10,4,40,412981,412981,18
3,10,4,40,432873,432873,18
4,10,4,40,388619,388619,20
5,10,4,40,499471,499471,26
1,10,5,40,423419,423419,216
2,10,5,40,434622,434622,227
3,10,5,40,435912,435912,18
4,10,5,40,403179,403179,18
5,10,5,40,506843,506843,22
1,10,3,80,387081,387081,104
2,10,3,80,401642,401642,16
3,10,3,80,450521,450521,27
4,10,3,80,402655,402655,16
5,10,3,80,540731,540731,662
1,10,4,80,400921,400921,18
2,10,4,80,423896,423896,15
3,10,4,80,442650,442650,17
4,10,4,80,395265,395265,45
5,10,4,80,546981,546981,542
1,10,5,80,444908,444908,84
2,10,5,80,449633,449633,43
3,10,5,80,456747,456747,27
4,10,5,80,427773,427773,16
5,10,5,80,570193,570193,358
1,11,3,10,416677,418284,3276
2,11,3,10,446857,446857,391
3,11,3,10,421231,421231,389
4,11,3,10,412929,412929,537
5,11,3,10,518306,518306,163
1,11,4,10,423466,426210,3322
2,11,4,10,455313,455313,354
3,11,4,10,420069,420069,309
4,11,4,10,438240,438660,3278
5,11,4,10,521178,521178,169
1,11,5,10,484340,491407,3297
2,11,5,10,470898,470898,1147
3,11,5,10,428727,428727,140
4,11,5,10,437695,437695,1394
5,11,5,10,530333,530333,143
1,11,3,20,419238,419238,3240
2,11,3,20,447935,447935,33
3,11,3,20,422612,422612,47
4,11,3,20,413468,413468,145
5,11,3,20,525896,525896,38
1,11,4,20,425917,426138,3252
2,11,4,20,456924,456924,172
3,11,4,20,421690,421690,179
4,11,4,20,439185,439185,202
5,11,4,20,528819,528819,44
1,11,5,20,488872,491895,3275
2,11,5,20,472587,472587,1512
3,11,5,20,435364,435364,625
4,11,5,20,438376,438376,37
5,11,5,20,536205,536205,43
1,11,3,40,422704,422704,689
2,11,3,40,475261,475261,422
3,11,3,40,427000,427000,137
4,11,3,40,415569,415569,250
5,11,3,40,574749,574749,658
1,11,4,40,429193,429193,534
2,11,4,40,461527,461527,363
3,11,4,40,427851,427851,95
4,11,4,40,441404,441404,128
5,11,4,40,590785,590785,453
1,11,5,40,503397,503397,373
2,11,5,40,476606,476606,468
3,11,5,40,436987,436987,438
4,11,5,40,440609,440609,21
5,11,5,40,584725,595967,3257
1,11,3,80,430144,430144,168
2,11,3,80,512771,512771,193
3,11,3,80,437371,437371,16
4,11,3,80,433279,433279,16
5,11,3,80,586895,586895,18
1,11,4,80,437032,437032,203
2,11,4,80,484846,484846,131
3,11,4,80,436890,436890,24
4,11,4,80,473784,473784,77
5,11,4,80,608963,608963,151
1,11,5,80,542870,542870,888
2,11,5,80,501671,501671,56
3,11,5,80,457264,457264,102
4,11,5,80,483226,483226,85
5,11,5,80,606362,606362,170
1,12,3,10,452752,455891,3298
2,12,3,10,463445,463575,3272
3,12,3,10,458596,458596,109
4,12,3,10,488981,488981,196
5,12,3,10,513604,516908,3301
1,12,4,10,458086,465607,3326
2,12,4,10,473140,473140,1394
3,12,4,10,493238,493238,171
4,12,4,10,489642,489642,1763
5,12,4,10,516891,520030,3272
1,12,5,10,472938,485271,3531
2,12,5,10,495079,495697,3274
3,12,5,10,493091,493091,90
4,12,5,10,516679,517674,3297
5,12,5,10,523530,526823,3329
1,12,3,20,454846,456464,3300
2,12,3,20,465137,465137,681
3,12,3,20,461274,461274,37
4,12,3,20,491012,491012,61
5,12,3,20,518943,519642,3279
1,12,4,20,462444,465343,3254
2,12,4,20,476017,476017,230
3,12,4,20,495065,495065,318
4,12,4,20,490668,490668,407
5,12,4,20,523808,524459,3276
1,12,5,20,476058,484873,3273
2,12,5,20,498728,498728,711
3,12,5,20,503884,503884,32
4,12,5,20,519555,519555,451
5,12,5,20,527549,528614,3284
1,12,3,40,459824,459824,1407
2,12,3,40,470493,470493,239
3,12,3,40,464751,464751,22
4,12,3,40,488774,488774,24
5,12,3,40,521917,521917,345
1,12,4,40,475235,475235,1830
2,12,4,40,480968,480968,199
3,12,4,40,498876,498876,174
4,12,4,40,487981,487981,23
5,12,4,40,526600,526600,34
1,12,5,40,495447,496299,3262
2,12,5,40,503541,503541,196
3,12,5,40,506892,506892,23
4,12,5,40,529491,529491,631
5,12,5,40,532549,532549,305
1,12,3,80,468321,468321,227
2,12,3,80,486194,486194,162
3,12,3,80,483957,483957,17
4,12,3,80,501153,501153,17
5,12,3,80,538088,538088,73
1,12,4,80,490246,493513,3354
2,12,4,80,496431,496431,16
3,12,4,80,533650,533650,22
4,12,4,80,498768,498768,17
5,12,4,80,544786,544786,254
1,12,5,80,502193,507607,3294
2,12,5,80,534329,534329,93
3,12,5,80,592859,592859,146
4,12,5,80,557129,557129,18
5,12,5,80,549332,549332,20
1,13,3,10,527526,539451,3342
2,13,3,10,557540,558287,3274
3,13,3,10,506262,508971,3307
4,13,3,10,526016,526016,198
5,13,3,10,515814,515814,766
1,13,4,10,557070,569393,3283
2,13,4,10,569083,569083,441
3,13,4,10,506364,510246,3319
4,13,4,10,542814,542814,911
5,13,4,10,520678,520678,319
1,13,5,10,601811,635117,3601
2,13,5,10,576294,576294,2426
3,13,5,10,515727,515727,189
4,13,5,10,536633,543783,3347
5,13,5,10,526845,526845,568
1,13,3,20,535505,537901,3303
2,13,3,20,560425,561169,3260
3,13,3,20,509375,509881,3251
4,13,3,20,528184,528184,50
5,13,3,20,519348,519348,321
1,13,4,20,562989,569261,3258
2,13,4,20,572146,572146,1279
3,13,4,20,509375,509989,3250
4,13,4,20,544958,544958,53
5,13,4,20,525413,525413,68
1,13,5,20,604562,640816,3300
2,13,5,20,579152,579152,759
3,13,5,20,522322,522322,65
4,13,5,20,538091,542870,3285
5,13,5,20,530549,530549,191
1,13,3,40,546929,546929,418
2,13,3,40,564244,564244,2403
3,13,3,40,514385,514385,1935
4,13,3,40,535821,535821,27
5,13,3,40,522907,522907,260
1,13,4,40,585704,585704,3240
2,13,4,40,574362,574362,968
3,13,4,40,513978,513978,1264
4,13,4,40,549128,549128,22
5,13,4,40,528337,528337,29
1,13,5,40,632260,651992,3271
2,13,5,40,594606,594606,623
3,13,5,40,524431,524431,27
4,13,5,40,545768,545768,2909
5,13,5,40,533245,533245,419
1,13,3,80,566396,566396,1062
2,13,3,80,589048,589048,323
3,13,3,80,529078,529078,237
4,13,3,80,580453,580453,194
5,13,3,80,544336,544336,246
1,13,4,80,600464,604006,3260
2,13,4,80,605674,605674,16
3,13,4,80,529078,529078,325
4,13,4,80,589772,589772,452
5,13,4,80,549409,549409,63
1,13,5,80,668914,733347,3344
2,13,5,80,614919,614919,18
3,13,5,80,572592,572592,2529
4,13,5,80,571837,571837,1101
5,13,5,80,549009,549009,18
1,14,3,10,572325,584004,3520
2,14,3,10,559429,564092,3304
3,14,3,10,579105,593341,3314
4,14,3,10,623947,626309,3267
5,14,3,10,588139,590255,3270
1,14,4,10,556647,565865,3414
2,14,4,10,573912,580935,3343
3,14,4,10,574570,588804,3321
4,14,4,10,623089,625150,3304
5,14,4,10,574085,574085,351
1,14,5,10,597798,612035,3651
2,14,5,10,579967,584382,3292
3,14,5,10,589483,604083,3338
4,14,5,10,648961,649221,3303
5,14,5,10,581338,581338,3245
1,14,3,20,577109,584957,3310
2,14,3,20,564962,567335,3305
3,14,3,20,594742,594942,3256
4,14,3,20,627168,630251,3263
5,14,3,20,591881,592682,3326
1,14,4,20,562978,567825,3290
2,14,4,20,580812,582047,3252
3,14,4,20,589279,589279,3205
4,14,4,20,627820,628333,3247
5,14,4,20,577699,577699,55
1,14,5,20,595535,608225,3272
2,14,5,20,583312,585527,3268
3,14,5,20,598960,601072,3275
4,14,5,20,652338,652338,2550
5,14,5,20,583713,583713,826
1,14,3,40,583118,585162,3283
2,14,3,40,569222,569222,29
3,14,3,40,600337,600337,2780
4,14,3,40,633756,634426,3254
5,14,3,40,595907,595907,918
1,14,4,40,582471,583420,3248
2,14,4,40,585312,585312,2151
3,14,4,40,594235,594235,815
4,14,4,40,630880,630880,375
5,14,4,40,587144,587144,258
1,14,5,40,620991,627311,3253
2,14,5,40,590231,590231,2642
3,14,5,40,604216,604216,388
4,14,5,40,659251,659251,831
5,14,5,40,590774,590774,261
1,14,3,80,684621,687845,3297
2,14,3,80,586477,586477,259
3,14,3,80,624675,624675,18
4,14,3,80,651475,651475,621
5,14,3,80,616208,616208,441
1,14,4,80,636756,636756,328
2,14,4,80,621952,621952,306
3,14,4,80,639524,639524,356
4,14,4,80,657546,657546,516
5,14,4,80,635758,635758,113
1,14,5,80,693658,695508,3252
2,14,5,80,621969,621969,20
3,14,5,80,643534,643534,578
4,14,5,80,696726,696726,843
5,14,5,80,632145,632145,222
1,15,3,10,557134,581381,3574
2,15,3,10,637410,640200,3261
3,15,3,10,565243,568220,3296
4,15,3,10,610618,612422,3297
5,15,3,10,621171,625339,3286
1,15,4,10,573777,Inf,3621
2,15,4,10,620996,633300,3294
3,15,4,10,613504,620216,3294
4,15,4,10,612586,628095,3405
5,15,4,10,634663,638703,3318
1,15,5,10,594027,Inf,3681
2,15,5,10,634830,639854,3311
3,15,5,10,642694,648668,3318
4,15,5,10,639801,642638,3362
5,15,5,10,671505,682797,3269
1,15,3,20,563154,581269,3321
2,15,3,20,640770,646042,3249
3,15,3,20,569913,569913,87
4,15,3,20,617918,620582,3259
5,15,3,20,629016,629016,145
1,15,4,20,578420,611555,3645
2,15,4,20,632088,637181,3251
3,15,4,20,618699,619778,3251
4,15,4,20,624517,629448,3299
5,15,4,20,643329,643329,3240
1,15,5,20,597500,Inf,3615
2,15,5,20,644439,644439,2492
3,15,5,20,650879,650879,673
4,15,5,20,643717,646501,3292
5,15,5,20,681177,687089,3280
1,15,3,40,576098,582392,3293
2,15,3,40,652367,653771,3254
3,15,3,40,575643,575643,148
4,15,3,40,622195,622220,3265
5,15,3,40,636293,636293,1643
1,15,4,40,597458,616808,3293
2,15,4,40,649213,649213,3244
3,15,4,40,624700,624700,2612
4,15,4,40,631851,631851,1928
5,15,4,40,649989,649989,207
1,15,5,40,616420,693344,3605
2,15,5,40,656290,656578,3246
3,15,5,40,658124,658124,41
4,15,5,40,654541,654647,3276
5,15,5,40,692825,692825,260
1,15,3,80,606705,607508,3279
2,15,3,80,672666,672666,20
3,15,3,80,597203,597203,238
4,15,3,80,643604,643604,501
5,15,3,80,658328,658328,397
1,15,4,80,640049,645752,3324
2,15,4,80,691394,691394,1753
3,15,4,80,640703,640703,514
4,15,4,80,646995,646995,176
5,15,4,80,684393,684393,568
1,15,5,80,656877,710766,3398
2,15,5,80,708903,708903,2004
3,15,5,80,729838,729838,2252
4,15,5,80,675315,675315,709
5,15,5,80,726814,726814,446

